"brain_model","epi_model","b","ci.lb","ci.ub"
"Centile2","AdaptAge",-0.0030197326136537,-0.0271636781759509,0.0211242129486435
"DBN","AdaptAge",-0.00486692100440764,-0.063010190416047,0.0532763484072318
"DevBrainAge","AdaptAge",-0.0218971896791758,-0.0593227495439298,0.0155283701855782
"DunedinPACNI","AdaptAge",0.00857515789883623,-0.0130231026638387,0.0301734184615111
"ENIGMA","AdaptAge",0.0222064589943596,-0.00103104628736528,0.0454439642760846
"Kaufmann","AdaptAge",-0.0204427858266964,-0.0583476487488821,0.0174620770954893
"PyBrainAge","AdaptAge",0.0124973870062096,-0.011256969995362,0.0362517440077811
"Pyment","AdaptAge",0.0225559076452191,-0.0031200184418155,0.0482318337322538
"Centile2","AltumAge",0.006373107396447,-0.0194461881639736,0.0321924029568676
"DBN","AltumAge",0.0515309513468031,-0.00652263739804809,0.109584540091654
"DevBrainAge","AltumAge",0.0147364756012893,-0.0199513583546611,0.0494243095572397
"DunedinPACNI","AltumAge",-0.00275429828403239,-0.0239737535656303,0.0184651569975655
"ENIGMA","AltumAge",0.022266934863224,-0.00154519670575968,0.0460790664322076
"Kaufmann","AltumAge",0.0453725653421147,0.00620748986278685,0.0845376408214425
"PyBrainAge","AltumAge",0.0316669739165157,0.00810891808527915,0.0552250297477523
"Pyment","AltumAge",0.0437707024244785,0.0178693277259864,0.0696720771229706
"Centile2","cAge",0.000609001578951026,-0.023111580189029,0.024329583346931
"DBN","cAge",0.00610635151513184,-0.055366963746619,0.0675796667768827
"DevBrainAge","cAge",0.0620933034973583,0.0245755090044643,0.0996110979902523
"DunedinPACNI","cAge",-0.0102014151006007,-0.0311841380896844,0.0107813078884829
"ENIGMA","cAge",-0.000567747356631849,-0.0241900063380141,0.0230545116247504
"Kaufmann","cAge",0.0468574008973678,0.00878850246006969,0.084926299334666
"PyBrainAge","cAge",0.0251328274589509,0.00129806793667084,0.048967586981231
"Pyment","cAge",0.0227861175464887,-0.00242830331616935,0.0480005384091468
"Centile2","CorticalClock",0.00713644218318883,-0.0215397506379306,0.0358126350043083
"DBN","CorticalClock",-0.00150457693728988,-0.0591450219822585,0.0561358681076787
"DevBrainAge","CorticalClock",0.0480390262575148,0.0118463825655513,0.0842316699494784
"DunedinPACNI","CorticalClock",0.0139552055125725,-0.00758715365831897,0.035497564683464
"ENIGMA","CorticalClock",0.0200890015109212,-0.00336578233885372,0.043543785360696
"Kaufmann","CorticalClock",0.0508781643571188,0.0113156163465752,0.0904407123676624
"PyBrainAge","CorticalClock",0.0155894049116653,-0.0075703877491655,0.0387491975724961
"Pyment","CorticalClock",0.0244995855676329,-0.000494573730680344,0.0494937448659461
"Centile2","DamAge",0.0119173077067078,-0.0132215686632399,0.0370561840766554
"DBN","DamAge",0.0406544055882316,-0.0153339809556591,0.0966427921321224
"DevBrainAge","DamAge",0.0386222103860796,0.00123331096187757,0.0760111098102816
"DunedinPACNI","DamAge",0.0123848632411214,-0.00962082170532555,0.0343905481875684
"ENIGMA","DamAge",0.00134736781468455,-0.0220433671722975,0.0247381028016666
"Kaufmann","DamAge",0.0158258733942622,-0.0212523872152312,0.0529041340037556
"PyBrainAge","DamAge",0.014859173538406,-0.00864859802157498,0.0383669450983869
"Pyment","DamAge",-0.00415037237618132,-0.0294451353903776,0.0211443906380149
"Centile2","DNAmTL",-0.060166450783545,-0.121009792468003,0.000676890900913149
"DBN","DNAmTL",0.00745158082784262,-0.0549010450631783,0.0698042067188635
"DevBrainAge","DNAmTL",-0.00708440186766145,-0.0641363934876489,0.049967589752326
"DunedinPACNI","DNAmTL",0.0418604639002543,-0.00259197082597794,0.0863128986264866
"ENIGMA","DNAmTL",-0.00507942972601736,-0.0482761101163322,0.0381172506642975
"Kaufmann","DNAmTL",0.0237704573339568,-0.0306844202566314,0.0782253349245451
"PyBrainAge","DNAmTL",0.043834363717249,0.00506584554307259,0.0826028818914254
"Pyment","DNAmTL",0.000384878588942904,-0.038107055825726,0.0388768130036118
"Centile2","DunedinPACE",0.0264336170565268,-0.00291220589479335,0.0557794400078469
"DBN","DunedinPACE",0.024102972394618,-0.03949515647855,0.0877011012677861
"DevBrainAge","DunedinPACE",0.0531107075567317,0.0126591261197548,0.0935622889937086
"DunedinPACNI","DunedinPACE",0.0375757138651314,0.0151011177460319,0.0600503099842309
"ENIGMA","DunedinPACE",0.0555103145177704,0.0313688104286925,0.0796518186068483
"Kaufmann","DunedinPACE",0.0489138811135873,0.00760655632568499,0.0902212059014897
"PyBrainAge","DunedinPACE",0.0113235172622443,-0.0129539572122422,0.0356009917367309
"Pyment","DunedinPACE",0.0140561031210554,-0.0122370596430546,0.0403492658851654
"Centile2","Hannum",0.0132268761614456,-0.0135359678851703,0.0399897202080616
"DBN","Hannum",0.0260295813739852,-0.0318782999004186,0.083937462648389
"DevBrainAge","Hannum",0.0365279740874268,-0.00716164831111787,0.0802175964859715
"DunedinPACNI","Hannum",0.0077671249054529,-0.0150800408738609,0.0306142906847667
"ENIGMA","Hannum",0.00342166626412515,-0.0216369105841198,0.0284802431123701
"Kaufmann","Hannum",0.0358208468769129,-0.000908472225296553,0.0725501659791223
"PyBrainAge","Hannum",-0.0282822061969702,-0.052572760698337,-0.00399165169560348
"Pyment","Hannum",-0.0161285243463035,-0.0413464425619517,0.00908939386934478
"Centile2","Horvath2013",-0.00999139039672997,-0.0299278529312865,0.00994507213782659
"DBN","Horvath2013",-0.00221279398235546,-0.0594437964252337,0.0550182084605228
"DevBrainAge","Horvath2013",0.0195237348781378,-0.0165135469407045,0.0555610166969801
"DunedinPACNI","Horvath2013",0.02116054648969,-0.000544061053585152,0.0428651540329651
"ENIGMA","Horvath2013",0.0464341852219847,0.0235057833257754,0.069362587118194
"Kaufmann","Horvath2013",0.0458741451397596,0.00853759998873758,0.0832106902907816
"PyBrainAge","Horvath2013",0.00872763392881254,-0.01409368930043,0.0315489571580551
"Pyment","Horvath2013",0.0429171324408494,0.0168677005478863,0.0689665643338125
"Centile2","PCBrainAge",-0.00112835688713865,-0.0271030512803701,0.0248463375060928
"DBN","PCBrainAge",0.032466123229085,-0.0286074787015518,0.0935397251597219
"DevBrainAge","PCBrainAge",0.029916033457717,-0.00910292390561464,0.0689349908210486
"DunedinPACNI","PCBrainAge",0.00382085893047194,-0.0185668441323718,0.0262085619933156
"ENIGMA","PCBrainAge",0.0315474210136907,0.0076112254064406,0.0554836166209408
"Kaufmann","PCBrainAge",0.047568494331645,0.00923532831163651,0.0859016603516535
"PyBrainAge","PCBrainAge",0.0199777759553935,-0.00392793503746453,0.0438834869482515
"Pyment","PCBrainAge",0.0343595492932399,0.00704711985823062,0.0616719787282492
"Centile2","PCGrimAge",0.023888738643559,-0.00478394063892132,0.0525614179260392
"DBN","PCGrimAge",0.0161569688937186,-0.0468575397868744,0.0791714775743116
"DevBrainAge","PCGrimAge",0.0328955530672042,-0.00645515704209843,0.0722462631765068
"DunedinPACNI","PCGrimAge",0.040291454693363,0.018097873612351,0.0624850357743751
"ENIGMA","PCGrimAge",0.0526084454793244,0.0281585207748854,0.0770583701837634
"Kaufmann","PCGrimAge",0.0313427387667411,-0.00725505886297149,0.0699405363964538
"PyBrainAge","PCGrimAge",0.00786181070689447,-0.0162786526714135,0.0320022740852024
"Pyment","PCGrimAge",0.00409945836880888,-0.0226602104421645,0.0308591271797822
"Centile2","PedBE",0.0171406693732452,-0.0264466390758029,0.0607279778222933
"DBN","PedBE",-0.0213940930381633,-0.0795778543949489,0.0367896683186223
"DevBrainAge","PedBE",0.0218728211586771,-0.0221372978242537,0.0658829401416079
"DunedinPACNI","PedBE",-0.0161220254642308,-0.0385018204866338,0.00625776955817223
"ENIGMA","PedBE",0.0109243205312837,-0.0141488737567332,0.0359975148193005
"Kaufmann","PedBE",0.018594726962552,-0.0218236217906269,0.0590130757157309
"PyBrainAge","PedBE",0.012357122109755,-0.0125700760196298,0.0372843202391397
"Pyment","PedBE",0.0368429765538047,0.011369875654293,0.0623160774533164
"Centile2","PhenoAge",-0.000663684296447639,-0.0236471787054196,0.0223198101125243
"DBN","PhenoAge",-0.0146806634471695,-0.071813889931822,0.0424525630374829
"DevBrainAge","PhenoAge",0.0306687389000571,-0.013616171069967,0.0749536488700811
"DunedinPACNI","PhenoAge",0.0225076290615235,-0.000647086498832529,0.0456623446218795
"ENIGMA","PhenoAge",0.0381272721036692,0.0122018691680557,0.0640526750392827
"Kaufmann","PhenoAge",0.0201129398401571,-0.0196848742346679,0.0599107539149821
"PyBrainAge","PhenoAge",0.00701586370726861,-0.0176712775780096,0.0317030049925468
"Pyment","PhenoAge",-0.00583684797632598,-0.0314416951782551,0.0197679992256031
"Centile2","skinHorvath",0.012940111014992,-0.00837981082538036,0.0342600328553643
"DBN","skinHorvath",0.0409159323139957,-0.0136977811825987,0.0955296458105902
"DevBrainAge","skinHorvath",0.0300545172646683,-0.0122525573072995,0.0723615918366362
"DunedinPACNI","skinHorvath",-0.00106458677259775,-0.0236015812711354,0.0214724077259399
"ENIGMA","skinHorvath",0.0290097927261894,0.00469717675914187,0.0533224086932368
"Kaufmann","skinHorvath",0.063449780933122,0.0260877170633062,0.100811844802938
"PyBrainAge","skinHorvath",0.0369303737852658,0.0125067860682969,0.0613539615022348
"Pyment","skinHorvath",0.0276291994983452,0.00181967725759495,0.0534387217390954
"Centile2","Wu",0.00134893409184467,-0.0185752044640518,0.0212730726477412
"DBN","Wu",-0.01483641745172,-0.0708416877251141,0.041168852821674
"DevBrainAge","Wu",0.0381850448546211,-0.00295107172140257,0.0793211614306447
"DunedinPACNI","Wu",0.0194805887601915,-0.00330711920975892,0.042268296730142
"ENIGMA","Wu",0.0409861927943507,0.0152925613475517,0.0666798242411496
"Kaufmann","Wu",0.0191657103748022,-0.0189185084556497,0.0572499292052541
"PyBrainAge","Wu",0.0302434255358433,0.00580719881710462,0.054679652254582
"Pyment","Wu",0.000226535228287287,-0.0242821592726384,0.0247352297292129
"Centile2","ZhangBLUP",-0.00588906908790008,-0.0348452571971348,0.0230671190213346
"DBN","ZhangBLUP",0.0164197359475558,-0.0410903261845717,0.0739297980796832
"DevBrainAge","ZhangBLUP",0.0152562105606593,-0.0289029988761924,0.0594154199975109
"DunedinPACNI","ZhangBLUP",0.0250875448052476,0.00239643140759812,0.047778658202897
"ENIGMA","ZhangBLUP",0.00821175810192532,-0.0158876877180874,0.0323112039219381
"Kaufmann","ZhangBLUP",0.0103824766313723,-0.0282798082750215,0.0490447615377662
"PyBrainAge","ZhangBLUP",0.0155500852530464,-0.00808864813401223,0.0391888186401051
"Pyment","ZhangBLUP",-0.000999294183326896,-0.0259665100501043,0.0239679216834505
"Centile2","ZhangEN",0.000381817155064996,-0.0245198490929846,0.0252834834031145
"DBN","ZhangEN",-0.00192495581558047,-0.061116713778347,0.0572668021471861
"DevBrainAge","ZhangEN",-0.00563619235033272,-0.0483257015421547,0.0370533168414892
"DunedinPACNI","ZhangEN",0.00586565058456198,-0.0169404088129839,0.0286717099821078
"ENIGMA","ZhangEN",-0.010644430677218,-0.0348529594567892,0.0135640981023531
"Kaufmann","ZhangEN",0.0196044128627039,-0.0177092675415521,0.0569180932669599
"PyBrainAge","ZhangEN",0.00789425714557745,-0.0166052966243958,0.0323938109155507
"Pyment","ZhangEN",-0.00854286586182578,-0.0342484739799105,0.017162742256259
"Centile2","Pooled",0.00365317293586117,-0.00868954695374236,0.0159958928254647
"DBN","Pooled",0.0118512288172427,-0.005345751172721,0.0290482088072063
"DevBrainAge","Pooled",0.0263504482114056,0.0129904596693003,0.0397104367535109
"DunedinPACNI","Pooled",0.0116598093204917,0.000877836224006176,0.0224417824169773
"ENIGMA","Pooled",0.022379681646085,0.0113125200185167,0.0334468432736533
"Kaufmann","Pooled",0.0309636943237652,0.0177344252994402,0.0441929633480901
"PyBrainAge","Pooled",0.0148603185544397,0.00388357757363394,0.0258370595352454
"Pyment","Pooled",0.014143300722379,0.00288111707256907,0.0254054843721889
"Pooled","AdaptAge",0.00955710130329803,-0.0040828567459692,0.0231970593525653
"Pooled","AltumAge",0.022060522467371,0.0083600691512063,0.0357609757835357
"Pooled","cAge",0.0136304993987652,2.86078612106045e-05,0.0272323909363197
"Pooled","CorticalClock",0.0213843577791074,0.00762440932229232,0.0351443062359224
"Pooled","DamAge",0.0126309895194849,-0.00104638794104679,0.0263083669800166
"Pooled","DNAmTL",0.0109960822734344,-0.00857207746559886,0.0305642420124677
"Pooled","DunedinPACE",0.0337736304399606,0.0196534802792408,0.0478937806006804
"Pooled","Hannum",0.00320742732246731,-0.0108010912566362,0.0172159459015708
"Pooled","Horvath2013",0.0213708580824009,0.00808277221826777,0.034658943946534
"Pooled","PCBrainAge",0.0215501880152218,0.00762956849856678,0.0354708075318769
"Pooled","PCGrimAge",0.0290074098787567,0.0149769888332313,0.0430378309242821
"Pooled","PedBE",0.0101408359110066,-0.00429288594261737,0.0245745577646306
"Pooled","PhenoAge",0.0148885782517494,0.000953739561351202,0.0288234169421476
"Pooled","skinHorvath",0.0259398763879144,0.0122933994724979,0.0395863533033309
"Pooled","Wu",0.0194860263194953,0.00595034555250354,0.033021707086487
"Pooled","ZhangBLUP",0.0118569829065699,-0.00216286656907172,0.0258768323822114
"Pooled","ZhangEN",0.00228675008933467,-0.0116353304016732,0.0162088305803426
"Pooled","Pooled",0.0167448787294824,0.00714075381596201,0.0263490036430027
